Status	Name	UserID	ProfileURL	Score
OK	Fiona Brinkman	XMdyGgIAAAAJ	https://scholar.google.com/citations?hl=en&user=XMdyGgIAAAAJ	1
OK	Emma Griffiths	YngkjFAAAAAJ	https://scholar.google.com/citations?hl=en&user=YngkjFAAAAAJ	1
OK	Erin Gill	xMfpoNQAAAAJ	https://scholar.google.com/citations?hl=en&user=xMfpoNQAAAAJ	0.86
OK	Robert Delatolla	1hBTzZAAAAAJ	https://scholar.google.com/citations?hl=en&user=1hBTzZAAAAAJ	1
OK	Michael Parkins	O3Kin-IAAAAJ	https://scholar.google.com/citations?hl=en&user=O3Kin-IAAAAJ	1
OK	Lawrence Goodridge	rQUeGGsAAAAJ	https://scholar.google.com/citations?hl=en&user=rQUeGGsAAAAJ	1
OK	Ayush Kumar	tBwE4O4AAAAJ	https://scholar.google.com/citations?hl=en&user=tBwE4O4AAAAJ	1
NONE	Mathieya Alatini			
OK	Natalie Knox	kXK5pzQAAAAJ	https://scholar.google.com/citations?hl=en&user=kXK5pzQAAAAJ	0.92
NONE	Natalie Prystajecky			
OK	Tim McAllister	PQ9tLbUAAAAJ	https://scholar.google.com/citations?hl=en&user=PQ9tLbUAAAAJ	0.9
OK	Caren Helbing	BC6T6L-UY8gC	https://scholar.google.com/citations?hl=en&user=BC6T6L-UY8gC	1
OK	Melanie Courtot	ceQ3BE0AAAAJ	https://scholar.google.com/citations?hl=en&user=ceQ3BE0AAAAJ	0.93
OK	Amina Stoddart	RIjsxfIAAAAJ	https://scholar.google.com/citations?hl=en&user=RIjsxfIAAAAJ	1
OK	Lupin Battersby	gA730boAAAAJ	https://scholar.google.com/citations?hl=en&user=gA730boAAAAJ	1
OK	Miguel Uyaguari	kl8kXmMAAAAJ	https://scholar.google.com/citations?hl=en&user=kl8kXmMAAAAJ	1
OK	Andrew McArthur	zI9NSLcAAAAJ	https://scholar.google.com/citations?hl=en&user=zI9NSLcAAAAJ	0.91
OK	Guillaume Bourque	Et_RonIAAAAJ	https://scholar.google.com/citations?hl=en&user=Et_RonIAAAAJ	1
OK	Eric Collins	St9qTsMAAAAJ	https://scholar.google.com/citations?user=St9qTsMAAAAJ&hl=en	-1
OK	Andrew Cameron	7XHhgCIAAAAJ	https://scholar.google.com/citations?user=7XHhgCIAAAAJ&hl=en	-1
OK	Valerie Langlois	RX9XNLUAAAAJ	https://scholar.google.ca/citations?user=RX9XNLUAAAAJ&hl=en	-1
OK	Casey Hubert	iQjUDPYAAAAJ	https://scholar.google.com/citations?hl=en&user=iQjUDPYAAAAJ	1
